ID,Project,Type,Bill,Page,Item,Revision,Ref,Description,Qty,Unit,Rate,Total
1,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,DOORS AND FRAMES (Cont'd),,,,
2,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"Design, supply and install 50 mm thick solid core flush doors and frames; faced both sides with plywood with plastic laminate finish including edging all around doors, accessories, bedding and grouting frames",,,,
7,BQ_2026-03-03,Item,4.4,4,1,Addendum No. 2,4/4/1,Door 750 x 2100 mm high (DT18_B108-A).,1,set,,
10,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"Design, supply and install 50 mm thick proprietary fire rated solid core flush doors, frames, sub-frame and architraves including edging all round doors, intumescent strips, glass panels and glazing, beads, accessories, and bedding and grouting frames",,,,
17,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,Fire rated door assemblies with fire resistance rating (FRR) of -/60/60,,,,
19,BQ_2026-03-03,Item,4.4,4,2,Addendum No. 2,4/4/2,"Self-closing door 600 x 2000 mm high faced faced both sides with plastic laminate sheet (AT02b, AT02b1).",5,Set,,
24,BQ_2026-03-03,Item,4.4,4,3,Addendum No. 2,4/4/3,"Door 950 x 2100 mm high faced both sides with plastic laminate sheet and complete with 2 No. 100 x 700 mm high firelite clear glass panels or approved equivalent glass and stainless steel plate with acid etched signage complying with FS Code 16 on both sides and stainless steel plate with acid etched signage complying with FS Code 16 on both sides (DT1_B109-A, DT1_B109-B).",2,set,,
